city,target_date,forecast_available_at,n_rows,positives
Atlanta,2026-03-23,2026-03-30T00:00:00+00:00,1,0
Chicago,2026-03-23,2026-03-30T00:00:00+00:00,1,0
Dallas,2026-03-23,2026-03-30T00:00:00+00:00,1,0
London,2026-03-23,2026-03-30T00:00:00+00:00,1,0
Miami,2026-03-23,2026-03-30T00:00:00+00:00,1,0
NYC,2026-03-23,2026-03-30T00:00:00+00:00,1,1
Paris,2026-03-23,2026-03-30T00:00:00+00:00,1,0
Seattle,2026-03-23,2026-03-30T00:00:00+00:00,1,0
Atlanta,2026-03-22,2026-03-30T00:00:00+00:00,1,0
Chicago,2026-03-22,2026-03-30T00:00:00+00:00,1,0
Dallas,2026-03-22,2026-03-30T00:00:00+00:00,1,0
London,2026-03-22,2026-03-30T00:00:00+00:00,1,0
Miami,2026-03-22,2026-03-30T00:00:00+00:00,1,0
NYC,2026-03-22,2026-03-30T00:00:00+00:00,1,0
Paris,2026-03-22,2026-03-30T00:00:00+00:00,1,1
Seattle,2026-03-22,2026-03-30T00:00:00+00:00,1,0
Atlanta,2026-03-21,2026-03-30T00:00:00+00:00,1,0
Chicago,2026-03-21,2026-03-30T00:00:00+00:00,1,0
Dallas,2026-03-21,2026-03-30T00:00:00+00:00,1,0
London,2026-03-21,2026-03-30T00:00:00+00:00,1,0
Miami,2026-03-21,2026-03-30T00:00:00+00:00,1,0
NYC,2026-03-21,2026-03-30T00:00:00+00:00,1,0
Paris,2026-03-21,2026-03-30T00:00:00+00:00,1,0
Seattle,2026-03-21,2026-03-30T00:00:00+00:00,1,0
Atlanta,2026-03-20,2026-03-30T00:00:00+00:00,1,0
Chicago,2026-03-20,2026-03-30T00:00:00+00:00,1,0
Dallas,2026-03-20,2026-03-30T00:00:00+00:00,1,0
London,2026-03-20,2026-03-30T00:00:00+00:00,1,0
Miami,2026-03-20,2026-03-30T00:00:00+00:00,1,0
NYC,2026-03-20,2026-03-30T00:00:00+00:00,1,0
Paris,2026-03-20,2026-03-30T00:00:00+00:00,1,0
Seattle,2026-03-20,2026-03-30T00:00:00+00:00,1,0
Atlanta,2026-03-19,2026-03-30T00:00:00+00:00,1,0
Chicago,2026-03-19,2026-03-30T00:00:00+00:00,1,0
Dallas,2026-03-19,2026-03-30T00:00:00+00:00,1,0
London,2026-03-19,2026-03-30T00:00:00+00:00,1,0
Miami,2026-03-19,2026-03-30T00:00:00+00:00,1,0
NYC,2026-03-19,2026-03-30T00:00:00+00:00,1,0
Paris,2026-03-19,2026-03-30T00:00:00+00:00,1,0
Seattle,2026-03-19,2026-03-30T00:00:00+00:00,1,0
Atlanta,2026-03-18,2026-03-30T00:00:00+00:00,1,0
Chicago,2026-03-18,2026-03-30T00:00:00+00:00,1,0
Dallas,2026-03-18,2026-03-30T00:00:00+00:00,1,0
London,2026-03-18,2026-03-30T00:00:00+00:00,1,0
Miami,2026-03-18,2026-03-30T00:00:00+00:00,1,0
NYC,2026-03-18,2026-03-30T00:00:00+00:00,1,0
Paris,2026-03-18,2026-03-30T00:00:00+00:00,1,0
Seattle,2026-03-18,2026-03-30T00:00:00+00:00,1,0
Atlanta,2026-03-17,2026-03-30T00:00:00+00:00,1,0
Chicago,2026-03-17,2026-03-30T00:00:00+00:00,1,0
Dallas,2026-03-17,2026-03-30T00:00:00+00:00,1,0
London,2026-03-17,2026-03-30T00:00:00+00:00,1,0
Miami,2026-03-17,2026-03-30T00:00:00+00:00,1,0
NYC,2026-03-17,2026-03-30T00:00:00+00:00,1,0
Paris,2026-03-17,2026-03-30T00:00:00+00:00,1,0
Seattle,2026-03-17,2026-03-30T00:00:00+00:00,1,0
Atlanta,2026-03-16,2026-03-30T00:00:00+00:00,1,0
Chicago,2026-03-16,2026-03-30T00:00:00+00:00,1,1
Dallas,2026-03-16,2026-03-30T00:00:00+00:00,1,0
London,2026-03-16,2026-03-30T00:00:00+00:00,1,0
Miami,2026-03-16,2026-03-30T00:00:00+00:00,1,0
NYC,2026-03-16,2026-03-30T00:00:00+00:00,1,0
Paris,2026-03-16,2026-03-30T00:00:00+00:00,1,0
Seattle,2026-03-16,2026-03-30T00:00:00+00:00,1,0
London,2026-01-31,2026-01-30T00:00:00+00:00,1,0
Atlanta,2026-01-02,2026-01-02T08:00:00Z,1,0
Dallas,2026-01-02,2026-01-02T08:00:00Z,1,0
NYC,2026-01-02,2026-01-02T08:00:00Z,1,0
Seattle,2026-01-02,2026-01-02T08:00:00Z,1,0
Atlanta,2026-01-01,2026-01-01T08:00:00Z,1,0
Dallas,2026-01-01,2026-01-01T08:00:00Z,1,0
London,2026-01-01,2026-01-01T08:00:00Z,1,0
NYC,2026-01-01,2026-01-01T08:00:00Z,1,0
Seattle,2026-01-01,2026-01-01T08:00:00Z,1,0
NYC,2025-02-28,2025-02-28T08:00:00Z,1,0
NYC,2025-02-15,2025-02-15T08:00:00Z,1,0
London,2025-02-01,2025-02-01T08:00:00Z,1,0
