metric,value
db_tables_total,37
missing_new_table_count,9
missing_new_tables,probability_trace_fact;selection_family_fact;selection_hypothesis_fact;model_eval_run;model_eval_point;promotion_registry;forecast_error_profile;day0_residual_fact;calibration_decision_group
calibration_pairs_rows,22781
calibration_pairs_distinct_cities,9
calibration_pair_decision_groups,2141
calibration_pair_rows_per_group_avg,10.64
calibration_group_anomalies,77
shadow_signals_rows,136
shadow_signals_missing_decision_snapshot_id,46
opportunity_fact_rows,43
opportunity_fact_missing_p_raw,43
trade_decisions_rows,145
trade_decisions_missing_p_calibrated,145
ensemble_snapshots_rows,8884
ensemble_snapshots_missing_p_raw_json,8615
observation_instants_rows,1107567
observation_instants_missing_running_max,888084
observation_instants_missing_delta_rate_per_h,897241
solar_daily_rows,34718
token_price_log_rows,4091736
