cluster,season,pair_rows,decision_groups,settlement_days,positives,rows_per_group
Europe-Continental,SON,4488,408,408,408,11.0
Europe-Continental,JJA,3850,350,350,350,11.0
US-Florida,SON,2244,204,204,204,11.0
US-Northeast,SON,2244,204,204,204,11.0
Europe-Continental,DJF,1980,180,180,180,11.0
US-Florida,JJA,1925,175,175,175,11.0
US-Northeast,JJA,1628,148,148,148,11.0
Europe-Continental,MAM,1240,120,120,113,10.33
US-Florida,DJF,1012,92,92,92,11.0
US-Northeast,DJF,708,68,68,64,10.41
US-Florida,MAM,613,63,63,55,9.73
US-Northeast,MAM,591,61,61,54,9.69
Europe-Maritime,MAM,52,12,12,4,4.33
US-GreatLakes,MAM,52,12,12,5,4.33
US-Southeast-Inland,MAM,52,12,12,4,4.33
US-Texas-Triangle,MAM,52,12,12,4,4.33
US-Pacific-Northwest,MAM,41,11,11,3,3.73
Europe-Maritime,DJF,3,3,3,0,1.0
US-Pacific-Northwest,DJF,2,2,2,0,1.0
US-Southeast-Inland,DJF,2,2,2,0,1.0
US-Texas-Triangle,DJF,2,2,2,0,1.0
