city,pair_rows,decision_groups,settlement_days,positives,rows_per_group,share_rows,cum_share
Miami,5794,534,534,526,10.85,0.2543347526447478,0.2543347526447478
Munich,5786,526,526,526,11.0,0.2539835828102366,0.5083183354549844
Paris,5772,532,532,525,10.85,0.253369035599842,0.7616873710548264
NYC,5171,481,481,470,10.75,0.2269874017821869,0.9886747728370133
London,55,15,15,4,3.67,0.0024142926122646064,0.9910890654492779
Atlanta,54,14,14,4,3.86,0.0023703963829507044,0.9934594618322286
Dallas,54,14,14,4,3.86,0.0023703963829507044,0.9958298582151792
Chicago,52,12,12,5,4.33,0.0022826039243229006,0.9981124621395021
Seattle,43,13,13,3,3.31,0.0018875378604977832,0.9999999999999999
