table,rows
token_price_log,4091736
observation_instants,1107567
hourly_observations,993425
forecasts,658945
market_price_history,340351
chronicle,136230
historical_forecasts,97658
forecast_skill,53581
solar_daily,34718
settlements,34198
observations,30171
calibration_pairs,22781
diurnal_peak_prob,13248
ensemble_snapshots,8884
market_events,7926
diurnal_curves,4416
temp_persistence,915
replay_results,853
decision_log,811
model_bias,760
model_skill,200
position_events_legacy,177
trade_decisions,145
shadow_signals,136
position_events,72
opportunity_fact,43
strategy_health,39
platt_models,36
asos_wu_offsets,24
position_current,24
outcome_fact,19
sqlite_sequence,19
execution_fact,12
control_overrides,1
availability_fact,1
risk_actions,1
alpha_overrides,0
