source,lead_days,n,bias,mae,mse
ecmwf,1,1629,1.651,2.711,14.156
ecmwf,2,1629,1.736,2.973,16.608
ecmwf,3,1629,1.701,3.107,18.225
ecmwf,4,1629,1.688,3.305,20.659
ecmwf,5,1628,1.693,3.576,24.164
ecmwf,6,1629,2.486,4.396,35.967
ecmwf,7,1625,2.249,4.659,39.628
gfs,1,1629,1.221,2.306,10.038
gfs,2,1629,0.88,2.456,11.572
gfs,3,1629,0.873,2.721,14.464
gfs,4,1629,0.815,3.006,17.564
gfs,5,1628,0.985,3.41,23.454
gfs,6,1628,0.91,3.887,31.09
gfs,7,1626,0.617,4.447,39.597
icon,1,1629,1.206,2.022,8.236
icon,2,1629,1.282,2.319,10.77
icon,3,1629,1.174,2.516,13.027
icon,4,1629,1.316,2.854,16.337
icon,5,1628,1.268,3.416,23.538
icon,6,1627,1.156,3.833,30.039
openmeteo,0,38,-2.097,2.761,21.671
openmeteo,1,1473,1.254,2.252,9.574
openmeteo,2,1629,1.003,2.426,11.426
openmeteo,3,1629,1.003,2.692,14.244
openmeteo,4,1629,1.008,3.003,17.534
openmeteo,5,1628,1.133,3.384,23.278
openmeteo,6,1628,1.141,3.903,31.096
openmeteo,7,1626,0.86,4.447,39.524
ukmo,1,1629,1.46,2.471,12.109
ukmo,2,1629,1.828,2.906,16.249
ukmo,3,1627,1.8,3.158,18.981
ukmo,4,1622,1.779,3.354,21.46
ukmo,5,1618,1.554,3.68,27.364
ukmo,6,1609,1.955,4.229,35.289
