city,market_events,market_days
LA,4290,132
NYC,525,431
London,512,432
Atlanta,201,117
Dallas,198,118
Seattle,188,115
Miami,151,71
Chicago,151,71
Paris,126,46
Panama City,55,5
Wuhan,44,4
Warsaw,44,4
Toronto,44,4
Tokyo,44,4
Tel Aviv,44,4
Taipei,44,4
Singapore,44,4
Shenzhen,44,4
Seoul,44,4
Sao Paulo,44,4
San Francisco,44,4
Munich,44,4
Moscow,44,4
Milan,44,4
Mexico City,44,4
Madrid,44,4
Lucknow,44,4
Los Angeles,44,4
Kuala Lumpur,44,4
Istanbul,44,4
Houston,44,4
Hong Kong,44,4
Denver,44,4
Chongqing,44,4
Chengdu,44,4
Buenos Aires,44,4
Beijing,44,4
Ankara,44,4
Wellington,33,3
Shanghai,33,3
SF,33,3
Lagos,33,3
Jeddah,33,3
Jakarta,33,3
Cape Town,33,3
Busan,33,3
Austin,33,3
