bucket_key,n_samples,brier_insample,fitted_at,pair_rows_now,decision_groups_now
Asia-East-China_MAM,33,0.028088149946610304,2026-04-10T11:00:31.826588+00:00,0,0
Asia-Subtropical_DJF,363,0.0027461117478042103,2026-04-10T11:00:31.919689+00:00,0,0
Asia-Subtropical_JJA,687,0.008633484381691564,2026-04-10T11:00:32.073732+00:00,0,0
Asia-Subtropical_MAM,204,0.009706395538337843,2026-04-10T11:00:32.175841+00:00,0,0
Asia-Subtropical_SON,646,0.0015455820354164564,2026-04-10T11:00:32.283972+00:00,0,0
Europe-Continental_DJF,81,0.023754193897681904,2026-04-10T11:00:32.391447+00:00,1980,180
Europe-Continental_MAM,1240,,2026-04-10T15:16:35.592974+00:00,1240,120
Europe-Eastern_DJF,34,0.027939824873580873,2026-04-10T11:00:32.582962+00:00,0,0
Europe-Maritime_DJF,416,0.01538694749948022,2026-04-10T11:00:32.730691+00:00,3,3
Europe-Maritime_MAM,52,,2026-04-10T15:16:35.356864+00:00,52,12
Europe-Maritime_SON,727,0.0013736322031332152,2026-04-10T11:00:32.967794+00:00,0,0
US-California-Coast_DJF,290,0.04904853762825871,2026-04-10T11:00:33.108197+00:00,0,0
US-California-Coast_JJA,596,0.06375131225822595,2026-04-10T11:00:33.265988+00:00,0,0
US-California-Coast_MAM,234,0.051214012183873545,2026-04-10T11:00:33.392909+00:00,0,0
US-California-Coast_SON,606,0.042330041273682076,2026-04-10T11:00:33.554034+00:00,0,0
US-Florida_JJA,19,0.04889424937185066,2026-04-10T11:00:33.626981+00:00,1925,175
US-Florida_MAM,613,,2026-04-10T15:16:34.980779+00:00,613,63
US-GreatLakes_DJF,382,0.04909705746147833,2026-04-10T11:00:33.951015+00:00,0,0
US-GreatLakes_JJA,838,0.028262186908646708,2026-04-10T11:00:34.135827+00:00,0,0
US-GreatLakes_MAM,52,,2026-04-10T15:16:34.110539+00:00,52,12
US-GreatLakes_SON,728,0.01753435269644058,2026-04-10T11:00:34.422268+00:00,0,0
US-Northeast_DJF,264,0.01484252311319402,2026-04-10T11:00:34.550760+00:00,708,68
US-Northeast_MAM,591,,2026-04-10T15:16:33.976682+00:00,591,61
US-Pacific-Northwest_DJF,87,0.12678820654769904,2026-04-10T11:00:34.833430+00:00,2,2
US-Pacific-Northwest_JJA,38,0.10606837854293807,2026-04-10T11:00:34.929581+00:00,0,0
US-Pacific-Northwest_MAM,41,,2026-04-10T15:16:34.240265+00:00,41,11
US-Rockies_JJA,1040,0.026925168217047112,2026-04-10T11:00:35.229930+00:00,0,0
US-Rockies_MAM,1815,,2026-04-10T13:58:02.177798+00:00,0,0
US-Rockies_SON,881,0.0033931247217573856,2026-04-10T11:00:35.550704+00:00,0,0
US-Southeast-Inland_DJF,98,0.02813733092253335,2026-04-10T11:00:35.666149+00:00,2,2
US-Southeast-Inland_JJA,33,0.029381277228627125,2026-04-10T11:00:35.743483+00:00,0,0
US-Southeast-Inland_MAM,52,,2026-04-10T15:16:34.375114+00:00,52,12
US-Texas-Triangle_DJF,1156,0.026846263100047667,2026-04-10T11:00:36.122994+00:00,2,2
US-Texas-Triangle_JJA,2558,0.05720670621876727,2026-04-10T11:00:36.387853+00:00,0,0
US-Texas-Triangle_MAM,52,,2026-04-10T15:16:34.782443+00:00,52,12
US-Texas-Triangle_SON,2388,0.02642746217799635,2026-04-10T11:00:36.906654+00:00,0,0
